id,name,status,tradition,period,year_start,year_end,country,region,city,address_public,lat,lon,precision,source_level,source_url,local_source,notes,next_search
hist-volontirovka-moiseev-family,"Волонтировка — семья Моисеевых",historical,sc_ehb,"1972",1972,1972,"СССР / Молдавия","Молдавская ССР","Волонтировка","",46.33,29.60,city,A/C,"https://propovednik.com/media/mp3/Литература/Бюллетени совета родственников и узников 1970-1987/1971-1977 Синька/009-1972.pdf","bulletin-council-relatives-009-1972.pdf","Адрес семьи в бюллетене: с. Волонтировка, Суворовский район, Молдавская ССР.","точные данные церкви Слободзея/Волонтировка"
hist-barnault-nikolai-khmara,"Барнаул — Николай Хмара",historical,sc_ehb,"1963-1964",1963,1964,"СССР","Алтайский край","Барнаул","",53.3474,83.7788,city,C,"https://reshenie.vcc.ru/magazine/issues/a472014/view/article/1023651","reshenie-life-given-for-christ-popov-2014.txt","Кейс смерти в Барнаульской тюрьме; пока опора — поздняя мемориальная публикация, нужна первичка.","бюллетени Совета родственников; следственное дело; тюремные документы"
hist-karaganda-shilov,"Карлаг / Долинка — Иван Шилов",historical,vsehb,"1935-1937",1935,1937,"СССР / Казахстан","Карагандинская область","Долинка / Караганда","",49.6769,73.3344,city,B,"https://reshenie.vcc.ru/magazine/issues/a472014/view/article/1023651","reshenie-life-given-for-christ-popov-2014.txt","Шилов: военный вопрос, Соловки, Карлаг, расстрел 1937; нужны дела ОГПУ/НКВД.","письмо Ленину; дела Соловков/Карлага"
hist-siblag-slesarev,"Сиблаг / Темир-Тау — Георгий Слесарев",historical,evangelical_christians,"1935-1938",1935,1938,"СССР","Кемеровская область","Темир-Тау","",53.13,87.45,city,B/C,"https://reshenie.vcc.ru/magazine/issues/a472014/view/article/1023651","reshenie-life-given-for-christ-popov-2014.txt","Первый скрипач Большого театра; арест 1935, расстрел 1938; ссылка на УФСБ через Попова.","копия архивной справки УФСБ; место захоронения"
hist-ligukalns-1974,"Лигукалнс — типография Христианина",historical,sc_ehb,"1974",1974,1974,"СССР / Латвия","Латвийская ССР","Лигукалнс / окрестности Цесиса","",57.31,25.27,city,C,"http://baptistru.info/index.php/%D5%F0%E8%F1%F2%E8%E0%ED%E8%ED,_%E8%E7%E4%E0%F2%E5%EB%FC%F1%F2%E2%EE","","Разгром типографии: 7 работников, станок, около 9 тонн бумаги, 15000 Новых Заветов; нужны имена/дело.","судебные материалы; имена семи работников; фото обращения"
hist-ivangorod-1977,"Ивангород — печатники Христианина",historical,sc_ehb,"1977",1977,1977,"СССР","Ленинградская область","Ивангород","",59.3765,28.2230,city,A/C,"https://propovednik.com/media/mp3/Литература/Бюллетени совета родственников и узников 1970-1987/1971-1977 Синька/044-1977.pdf","bulletin-council-relatives-044-1977.pdf","Бюллетень №44 называет Левена, Коопа, Людмилу и Ларису Зайцевых под следствием в Ленинграде.","судебное дело; приговор; точное место типографии"
hist-kharkiv-donchenko-1980,"Харьков — Донченко с бюллетенями и Евангелиями",historical,sc_ehb,"1980",1980,1980,"СССР / Украина","Украинская ССР","Харьков","",49.9935,36.2304,city,A/C,"https://propovednik.com/media/mp3/Литература/Бюллетени совета родственников и узников 1970-1987/1977-1980 Ротатор/084-1980.pdf","bulletin-council-relatives-084-1980.pdf","А. М. Донченко задержан на вокзале с бюллетенями и Евангелиями; обыски у семьи.","судебное дело; статья обвинения; срок"
hist-moscow-central-church,"Московская центральная церковь ЕХБ",active,rs_ehb,"1992-now",1992,,"Россия","Москва","Москва","Малый Трёхсвятительский переулок, 3",55.7545,37.6426,address,B/C,"https://moscowbaptist.ru/","church-directory-moscowbaptist-2026-06-14.txt","Публичный адрес из Московского объединения; для атласа как современный центр.","проверить официальный сайт mbchurch.ru; дата актуальности"
modern-moscow-second-church,"2-я Московская церковь ЕХБ",active,rs_ehb,"1992-now",1992,,"Россия","Москва","Москва","Варшавское шоссе, 12-а, строение 1",55.700,37.623,address,B/C,"https://moscowbaptist.ru/","church-directory-moscowbaptist-2026-06-14.txt","Публичный адрес из Московского объединения; координаты приблизительные.","проверить официальный сайт 2mbc.ru"
modern-moscow-losinka,"Церковь ЕХБ На Лосинке",active,rs_ehb,"1992-now",1992,,"Россия","Москва","Москва","ул. Таёжная, 2а",55.878,37.677,address,C,"https://moscowbaptist.ru/","church-directory-moscowbaptist-2026-06-14.txt","Публичный адрес; требует сверки по сайту общины.","na-losinke.org.ru"
modern-spb-poklonnaya,"Церковь ЕХБ на Поклонной горе",active,rs_ehb,"1992-now",1992,,"Россия","Санкт-Петербург","Санкт-Петербург","",59.9343,30.3351,city,C,"https://ocehb.ru/new-contacts-all","church-directory-ocehb-spb-2026-06-14.txt","Публичный список ОЦ ЕХБ СПб; пока городская точка, не адресная.","раскрыть карточку на ocehb; адрес/служители/статус"
modern-spb-logos,"Церковь ЕХБ Логос",active,rs_ehb,"1992-now",1992,,"Россия","Санкт-Петербург","Санкт-Петербург","",59.9343,30.3351,city,C,"https://ocehb.ru/new-contacts-all","church-directory-ocehb-spb-2026-06-14.txt","Публичный список ОЦ ЕХБ СПб; пока городская точка.","адрес и официальный сайт"
modern-zelenograd-evangelical,"Зеленоградская евангельская церковь",active,rs_ehb,"1992-now",1992,,"Россия","Москва / Зеленоград","Зеленоград","Георгиевский проспект, 5с1",55.991,37.214,address,B/C,"https://moscowbaptist.ru/","church-directory-moscowbaptist-2026-06-14.txt","Публичный адрес из Московского объединения; координаты приблизительные.","проверить zelchurch.ru"
modern-rsehb-region-heatmap,"РС ЕХБ — региональный слой России",active,rs_ehb,"1992-now",1992,,"Россия","Все регионы","","",61.5,99.0,region,B,"https://baptistworld.org/members/","","Для heatmap: BWA даёт РС ЕХБ 1413 churches / 66732 members; не смешивать с МСЦ и независимыми.","актуальная статистика РС ЕХБ по регионам"
modern-msc-region-heatmap,"МСЦ ЕХБ — региональный слой",active,msc_ehb,"1991-now",1991,,"Россия / постсоветское пространство","15 объединений","","",55.0,60.0,region,C,"http://www.baptistru.info/index.php/%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D1%81%D0%BE%D0%B2%D0%B5%D1%82_%D1%86%D0%B5%D1%80%D0%BA%D0%B2%D0%B5%D0%B9_%D0%B5%D0%B2%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D1%85_%D1%85%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%B0%D0%BD-%D0%B1%D0%B0%D0%BF%D1%82%D0%B8%D1%81%D1%82%D0%BE%D0%B2","","Справка называет 15 объединений и данные 2008; использовать как контекст, не как актуальную карту.","официальная статистика МСЦ; публичные адреса"
